trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
4,0.3353654217764262,1,Scale,6,8,213,-0.8781834726727012,0,1,22752.599999904636,,,,
4,0.3353654217764262,1,Scale,6,9,78,0.6963214772626103,0,0,,,,,
4,0.3353654217764262,1,Scale,7,0,68,0.7999354578638126,0,1,1400.4000000953674,,,,
4,0.3353654217764262,1,Scale,7,1,20,0.6151931002931834,0,1,1649.2000000476835,,,,
4,0.3353654217764262,1,Scale,7,2,78,0.7973132703520569,0,0,,,,,
4,0.3353654217764262,1,Scale,7,3,78,0.6678899220314221,0,0,,,,,
4,0.3353654217764262,1,Scale,7,4,78,0.7747047055455476,0,0,,,,,
4,0.3353654217764262,1,Scale,7,5,78,-0.621287467010002,0,0,,,,,
4,0.3353654217764262,1,Scale,7,6,334,0.6974916940099962,0,1,19951.200000047684,,,,
4,0.3353654217764262,1,Scale,7,7,122,-0.6304306205885896,0,1,19402.599999904636,,,,
4,0.3353654217764262,1,Scale,7,8,78,-0.8487038478552748,0,0,,,,,
4,0.3353654217764262,1,Scale,7,9,78,0.6210186653674917,0,0,,,,,
4,0.3353654217764262,1,Scale,8,0,78,0.6008107915454314,0,0,,,,,
4,0.3353654217764262,1,Scale,8,1,78,0.8616990003219752,0,0,,,,,
4,0.3353654217764262,1,Scale,8,2,78,0.6648949182754377,0,0,,,,,
4,0.3353654217764262,1,Scale,8,3,342,0.8295927631139529,0,1,9061.799999952316,,,,
4,0.3353654217764262,1,Scale,8,4,157,0.7636346643882035,0,1,12626.599999904633,,,,
4,0.3353654217764262,1,Scale,8,5,22,0.7710417749120215,0,1,13126.900000095367,,,,
4,0.3353654217764262,1,Scale,8,6,78,-0.7154039096868392,0,0,,,,,
4,0.3353654217764262,1,Scale,8,7,78,-0.6476310993562138,0,0,,,,,
4,0.3353654217764262,1,Scale,8,8,78,0.6075005376376863,0,0,,,,,
4,0.3353654217764262,1,Scale,8,9,78,0.6917721006940006,0,0,,,,,
4,0.3353654217764262,1,Scale,9,0,78,0.6898401199291697,0,0,,,,,
4,0.3353654217764262,1,Scale,9,1,293,0.8711770922865294,0,1,6985.900000095367,,,,
4,0.3353654217764262,1,Scale,9,2,78,0.8373520683898685,0,0,,,,,
4,0.3353654217764262,1,Scale,9,3,78,-0.8217948544562876,0,0,,,,,
4,0.3353654217764262,1,Scale,9,4,78,0.8478603987842758,0,0,,,,,
4,0.3353654217764262,1,Scale,9,5,78,0.8456029427424694,0,0,,,,,
4,0.3353654217764262,1,Scale,9,6,207,0.6462651854728886,0,1,20633.79999995232,,,,
4,0.3353654217764262,1,Scale,9,7,291,0.8238933045302127,0,1,20902.900000095367,,,,
4,0.3353654217764262,1,Scale,9,8,208,-0.8143997628690409,0,1,23484.599999904636,,,,
4,0.3353654217764262,1,Scale,9,9,219,-0.6433465876727981,0,1,27498.0,,,,
4,0.3353654217764262,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,191627.0,501.0,,,
5,0.3570939270679497,1,Composite,0,0,112,0.7470245815906094,-0.04526847598335837,1,6919.900000095367,,,,
5,0.3570939270679497,1,Composite,0,1,382,0.752184252983273,0.0478967118655651,1,12571.700000047684,,,,
5,0.3570939270679497,1,Composite,0,2,325,0.8812084567866125,0.2006109635613078,0,,,,,
5,0.3570939270679497,1,Composite,0,3,325,0.7513313084307967,-1.4030381577450095,0,,,,,
5,0.3570939270679497,1,Composite,0,4,325,0.6876044511508236,0.14893713767147165,0,,,,,
5,0.3570939270679497,1,Composite,0,5,325,0.6802504354980357,-1.0149634431590495,0,,,,,
5,0.3570939270679497,1,Composite,0,6,211,0.669701371493847,1.2963242888203559,1,,,,,
5,0.3570939270679497,1,Composite,0,7,358,0.7090503951031373,1.3871997219763488,1,,,,,
5,0.3570939270679497,1,Composite,0,8,325,0.7515550526351951,0.8119926373412509,0,,,,,
5,0.3570939270679497,1,Composite,0,9,168,0.7817067673238854,1.412950862723735,1,,,,,
5,0.3570939270679497,1,Composite,0,10,325,-0.6348596242963179,-1.5364176655379609,0,,,,,
5,0.3570939270679497,1,Composite,0,11,325,0.6872659172154721,1.2094352389639145,0,,,,,
5,0.3570939270679497,1,Composite,1,0,201,0.86885040572497,-0.4756266111562424,1,7495.799999952316,,,,
5,0.3570939270679497,1,Composite,1,1,325,0.7585234235907266,-0.5006902824270794,0,,,,,
5,0.3570939270679497,1,Composite,1,2,325,0.623858797543837,1.4398854012513027,0,,,,,
5,0.3570939270679497,1,Composite,1,3,23,0.6701269782114201,-1.2711054530396693,1,19910.900000095367,,,,
5,0.3570939270679497,1,Composite,1,4,325,0.7703520104301546,1.1874155479459887,0,,,,,
5,0.3570939270679497,1,Composite,1,5,161,0.8829283919378137,1.1746162149078172,1,,,,,
5,0.3570939270679497,1,Composite,1,6,320,0.6090808907698833,1.0130201740660545,1,,,,,
5,0.3570939270679497,1,Composite,1,7,92,0.8327951425744559,-0.3606881301450042,1,,,,,
5,0.3570939270679497,1,Composite,1,8,49,0.7807827224338024,-0.10327249667830118,1,,,,,
5,0.3570939270679497,1,Composite,1,9,325,0.80441024728516,0.0003143811710286659,0,,,,,
5,0.3570939270679497,1,Composite,1,10,70,0.7762680688999383,0.21035451176614228,1,,,,,
5,0.3570939270679497,1,Composite,1,11,81,0.8199333087920958,0.7417223093182694,1,,,,,
5,0.3570939270679497,1,Composite,2,0,325,-0.896574673193639,-0.2967977305979408,0,,,,,
5,0.3570939270679497,1,Composite,2,1,325,0.6854885044451848,-1.2480111324129002,0,,,,,
5,0.3570939270679497,1,Composite,2,2,266,0.8573098142972566,0.3602786535504128,1,13490.299999952316,,,,
5,0.3570939270679497,1,Composite,2,3,325,0.8493575551422565,-1.0614742315702275,0,,,,,
5,0.3570939270679497,1,Composite,2,4,325,0.8472962946670775,0.8541365327073112,0,,,,,
5,0.3570939270679497,1,Composite,2,5,325,0.7126177651104991,-0.4944776727140874,0,,,,,
5,0.3570939270679497,1,Composite,2,6,325,-0.8516262100089642,-1.4610587120044256,0,,,,,
5,0.3570939270679497,1,Composite,2,7,310,0.8846642155822875,-0.2120085673803298,1,,,,,
5,0.3570939270679497,1,Composite,2,8,325,0.8919734519550505,-0.710299156466567,0,,,,,
5,0.3570939270679497,1,Composite,2,9,325,0.8749980065932168,-0.09410069824365563,0,,,,,
5,0.3570939270679497,1,Composite,2,10,27,0.6287068144722937,-0.16410597625379864,1,,,,,
5,0.3570939270679497,1,Composite,2,11,325,0.8521815863345097,-0.6300085120377505,0,,,,,
5,0.3570939270679497,1,Composite,3,0,184,0.8777251017195773,-0.11402248977363594,1,8074.900000095367,,,,
5,0.3570939270679497,1,Composite,3,1,372,0.605308061891955,-1.3918292441999218,1,11409.200000047684,,,,
5,0.3570939270679497,1,Composite,3,2,147,0.7613960786812751,-1.279142135954968,1,,,,,
5,0.3570939270679497,1,Composite,3,3,368,0.7431890877855895,-1.5657256168469063,1,,,,,
5,0.3570939270679497,1,Composite,3,4,325,0.692900854819964,1.3976484155745448,0,,,,,
5,0.3570939270679497,1,Composite,3,5,249,-0.6332503052014159,-0.9641768741221525,1,,,,,
5,0.3570939270679497,1,Composite,3,6,325,0.851030921694472,-0.4483273553827585,0,,,,,
5,0.3570939270679497,1,Composite,3,7,325,0.7467711056519867,1.4531884699001298,0,,,,,
5,0.3570939270679497,1,Composite,3,8,2,0.8054263649566465,0.6212521781304292,1,,,,,
5,0.3570939270679497,1,Composite,3,9,31,0.7993355137011308,1.4911184928309997,1,,,,,
5,0.3570939270679497,1,Composite,3,10,325,0.6469423137705405,-0.20989677130950546,0,,,,,
5,0.3570939270679497,1,Composite,3,11,325,-0.7192429992772,0.27828267656868344,0,,,,,
5,0.3570939270679497,1,Composite,4,0,325,0.6849865427374014,-1.1989776473224256,0,,,,,
5,0.3570939270679497,1,Composite,4,1,325,-0.620289333022045,-0.42169254138196655,0,,,,,
5,0.3570939270679497,1,Composite,4,2,325,0.6807025562295657,1.450202808477592,0,,,,,
5,0.3570939270679497,1,Composite,4,3,325,0.6640383896997908,-1.1837505050722321,0,,,,,
