trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7
4,0.3161087210674787,1,None,6,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,6,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,6,5,135,0.8,0,1,12714.5,,,,,,,
4,0.3161087210674787,1,None,6,6,236,0.8,0,1,14437.699999999995,,,,,,,
4,0.3161087210674787,1,None,6,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,6,8,150,0.8,0,1,17836.399999999994,,,,,,,
4,0.3161087210674787,1,None,6,9,42,0.8,0,1,18465.399999999998,,,,,,,
4,0.3161087210674787,1,None,7,0,130,0.8,0,1,2948.199999999997,,,,,,,
4,0.3161087210674787,1,None,7,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,7,2,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,7,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,7,4,307,0.8,0,1,11382.099999999991,,,,,,,
4,0.3161087210674787,1,None,7,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,7,6,220,0.8,0,1,14814.800000000005,,,,,,,
4,0.3161087210674787,1,None,7,7,324,0.8,0,1,16165.300000000005,,,,,,,
4,0.3161087210674787,1,None,7,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,7,9,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,1,226,-0.8,0,1,4884.800000000003,,,,,,,
4,0.3161087210674787,1,None,8,2,146,0.8,0,1,5436.899999999994,,,,,,,
4,0.3161087210674787,1,None,8,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,6,90,0.8,0,1,15198.199999999995,,,,,,,
4,0.3161087210674787,1,None,8,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,8,9,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,2,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,6,207,0.8,0,1,15616.300000000005,,,,,,,
4,0.3161087210674787,1,None,9,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,9,9,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,111556.2,830.0,,,,,,
5,0.3253824698905203,1,Rotate,0,0,231,0.8,-1.0564438792864663,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,1,231,0.8,-1.2134661039236331,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,2,231,0.8,0.9139652748678135,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,3,90,0.8,0.6990366299717183,1,11320.100000000004,,,,,,,
5,0.3253824698905203,1,Rotate,0,4,231,0.8,-0.7156756221013915,0,,,,,,,,
5,0.3253824698905203,1,Rotate,0,5,231,0.8,-0.686160646137014,0,,,,,,,,
