trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5
4,0.3987911817469471,1,Composite,4,5,56,-0.7414465864216007,1.0467844738744745,1,17063.5,,,,,
4,0.3987911817469471,1,Composite,4,6,24,0.8635433018696167,0.320645533229436,0,,,,,,
4,0.3987911817469471,1,Composite,4,7,24,0.6583762771358049,0.6845491277978852,0,,,,,,
4,0.3987911817469471,1,Composite,4,8,334,0.8823864983583156,-0.27643478649315045,1,24609.79999995232,,,,,
4,0.3987911817469471,1,Composite,4,9,241,0.7681046046361406,-0.4391353382891814,1,24988.89999997616,,,,,
4,0.3987911817469471,1,Composite,5,0,24,0.7943257410063633,1.1459764772636443,0,,,,,,
4,0.3987911817469471,1,Composite,5,1,151,0.757393662332575,0.1466295373085844,1,5566.399999976158,,,,,
4,0.3987911817469471,1,Composite,5,2,24,0.7466344562156371,-0.6757111746161794,0,,,,,,
4,0.3987911817469471,1,Composite,5,3,24,0.7210713006097514,-0.05461046745572529,0,,,,,,
4,0.3987911817469471,1,Composite,5,4,24,0.691392269425261,1.2797636791201366,0,12800.100000023842,14135.199999928474,,,,
4,0.3987911817469471,1,Composite,5,5,24,0.683029994050367,1.1051696282926766,0,,,,,,
4,0.3987911817469471,1,Composite,5,6,24,0.6761302199960428,-0.03987464779748895,0,,,,,,
4,0.3987911817469471,1,Composite,5,7,155,-0.7789170226153016,1.2630333740718322,1,21155.29999995232,,,,,
4,0.3987911817469471,1,Composite,5,8,24,0.720388161847391,-0.7961622389412024,0,,,,,,
4,0.3987911817469471,1,Composite,5,9,24,0.6991432962707944,1.5098832745639998,0,,,,,,
4,0.3987911817469471,1,Composite,6,0,24,0.7294266730459849,0.8518659379029812,0,,,,,,
4,0.3987911817469471,1,Composite,6,1,24,0.7697347356283578,-1.5017387830816669,0,,,,,,
4,0.3987911817469471,1,Composite,6,2,369,0.7927436454072139,0.44579688674622764,1,9611.799999952316,,,,,
